Wall time,Step,Value
1512648422.5032825,6,70.90010070800781
1512648588.4158518,19,57.63872146606445
1512648651.7172723,25,58.21213912963867
1512648836.9754608,41,52.494422912597656
1512648857.7810304,43,53.211814880371094
1512648888.5484383,46,51.7739372253418
1512648909.2881672,48,50.081260681152344
1512648972.687547,54,46.8662109375
1512649003.1282647,57,43.197242736816406
1512649161.3527753,72,39.1584358215332
1512649191.5714672,75,40.955902099609375
1512649243.122989,80,42.357540130615234
1512649326.643485,88,32.99744415283203
1512649399.7660644,95,45.19219970703125
1512649486.2071662,103,43.797515869140625
1512649517.737553,106,50.102806091308594
1512649528.2997634,107,50.97224426269531
1512649601.2880244,114,48.93352508544922
1512649654.2833638,119,51.360740661621094
1512649770.5985396,127,45.879615783691406
1512649944.7342417,140,42.37189483642578
1512650058.4331257,151,44.59815216064453
1512650110.2041779,156,55.76056671142578
1512650141.4116502,159,57.42926788330078
1512650235.3664637,168,51.49303436279297
1512650245.761569,169,52.21044158935547
1512650346.9391932,179,37.62272644042969
1512650397.315144,184,34.26537322998047
1512650417.8593621,186,32.73381805419922
1512650427.9859302,187,32.28923797607422
1512650468.690378,191,34.32698440551758
1512650551.1491132,199,34.17937469482422
1512650666.3179536,207,36.93952941894531
1512650676.541676,208,38.320579528808594
1512650728.1588202,213,36.22123336791992
1512650839.935065,224,37.97746658325195
1512650902.900477,230,40.01823043823242
1512650974.9874592,235,40.41086196899414
1512651040.908882,238,38.00995635986328
1512651218.3376925,250,33.55083084106445
1512651301.2838035,256,35.63957977294922
1512651374.617858,261,30.26816749572754
1512651408.0473738,264,28.572086334228516
1512651453.7363849,268,31.0357666015625
1512651497.1930747,272,33.354679107666016
1512651520.6233168,274,31.21445083618164
1512651747.5638452,293,31.74593734741211
1512651800.85748,298,26.860668182373047
1512651812.6526973,299,26.584945678710938
1512651906.7314517,304,24.48128890991211
1512651990.204471,309,25.504947662353516
1512652027.326724,311,25.885168075561523
1512652123.9526632,319,28.1499080657959
1512652137.1432362,320,26.809295654296875
1512652242.597937,327,28.196767807006836
1512652299.6610425,331,25.15670394897461
1512652413.2731986,340,25.225072860717773
1512652499.9730728,348,28.5704345703125
1512652731.1961377,364,20.75436782836914
1512652769.3773093,368,25.62579917907715
1512652845.157452,374,18.79971694946289
1512652883.1759763,378,22.543346405029297
1512652901.980782,380,21.8579158782959
1512653306.356493,422,16.1322078704834
1512653315.748337,423,16.1499080657959
1512653336.2747622,425,16.461750030517578
1512653393.4282577,431,17.26772689819336
1512653480.3627,440,14.217889785766602
1512653499.3932714,442,15.86987018585205
1512653509.0451324,443,15.913040161132812
1512653537.8151145,446,14.017862319946289
1512653595.347261,452,16.19632339477539
1512653681.41802,461,16.716249465942383
1512653710.0749052,464,15.062336921691895
1512653719.531542,465,14.101701736450195
1512653815.862198,475,14.871896743774414
1512653981.0606854,492,13.144155502319336
1512654000.0584905,494,13.127595901489258
1512654136.267937,508,12.173580169677734
1512654184.9532268,513,12.677133560180664
1512654203.6356347,515,10.574496269226074
1512654232.0628536,518,12.691232681274414
1512654309.5802255,526,11.078893661499023
1512654366.6784284,532,11.230018615722656
1512654385.739152,534,9.896586418151855
1512654415.6555297,537,10.808801651000977
1512654473.7292945,543,9.852273941040039
1512654521.4681497,548,11.361607551574707
1512654618.479566,558,10.512105941772461
